breakpoints,primitives,points,q_bp
34000,movej_fit,"[array([1909.98766022, -590.7572757 ,  839.2668765 ])]","[array([-0.20437609,  0.49170498, -0.12928993,  2.80537712, -1.08706631,
       -2.81692882])]"
34500,movej_fit,"[array([1918.20970146, -596.16559767,  836.30912976])]","[array([-0.20841727,  0.49991104, -0.13962838,  2.81211824, -1.08609505,
       -2.81414075])]"
35000,movej_fit,"[array([1926.69148663, -601.03393373,  833.18471445])]","[array([-0.21029124,  0.50926012, -0.15066668,  2.81346554, -1.08688622,
       -2.81431129])]"
35500,movej_fit,"[array([1935.42843331, -605.32029304,  829.89550588])]","[array([-0.20991488,  0.51976475, -0.16241945,  2.8091399 , -1.08948698,
       -2.81755229])]"
36000,movej_fit,"[array([1944.37935371, -609.0014827 ,  826.44303941])]","[array([-0.20723229,  0.53144114, -0.17484702,  2.79889683, -1.09398183,
       -2.82394274])]"
36500,movej_fit,"[array([1953.48691209, -612.08821209,  822.82118096])]","[array([-0.20222995,  0.54432939, -0.18787428,  2.78255528, -1.10048687,
       -2.83351335])]"
37000,movej_fit,"[array([1962.68875596, -614.62465489,  819.0142751 ])]","[array([-0.19493626,  0.55850205, -0.20139472,  2.75999558, -1.10914545,
       -2.84624542])]"
37500,movej_fit,"[array([1971.92294627, -616.68103044,  814.9990934 ])]","[array([-0.18542394,  0.57405835, -0.21526154,  2.73116765, -1.12011214,
       -2.86206239])]"
38000,movej_fit,"[array([1981.13011138, -618.34463009,  810.74895931])]","[array([-0.17382385,  0.59110438, -0.22927086,  2.69612894, -1.13351897,
       -2.88080683])]"
38500,movej_fit,"[array([1990.26057532, -619.71272903,  806.23556306])]","[array([-0.16034098,  0.60973297, -0.24315462,  2.65508512, -1.14943533,
       -2.90222162])]"
39000,movej_fit,"[array([1999.27196388, -620.88539579,  801.43460198])]","[array([-0.14528559,  0.62997836, -0.2565707 ,  2.60848006, -1.16780661,
       -2.92591471])]"
39500,movej_fit,"[array([2008.12834811, -621.96082965,  796.33091377])]","[array([-0.12909989,  0.65176727, -0.26912076,  2.55709189, -1.18839461,
       -2.95133514])]"
40000,movej_fit,"[array([2016.8019419 , -623.03219827,  790.92230622])]","[array([-0.11235846,  0.67488306, -0.28040891,  2.50208764, -1.2107466 ,
       -2.97778126])]"
