breakpoints,primitives,p_bp,q_bp
31999,movel_fit,"[array([1161.7669415 ,  244.55293351, 1073.83971201])]","[array([-0.06293349, -0.20316012,  0.50415544,  0.58208246,  1.47827133,
       -1.74120306])]"
32499,movel_fit,"[array([1161.23166077,  262.06459448, 1074.89226834])]","[array([-0.037134  , -0.19280669,  0.49020814,  0.5622877 ,  1.48416023,
       -1.72466019])]"
32999,movel_fit,"[array([1160.33325848,  279.57832343, 1075.58941382])]","[array([-0.01083049, -0.18197497,  0.4761459 ,  0.5415419 ,  1.49054443,
       -1.70795669])]"
33499,movel_fit,"[array([1159.05825892,  297.07848449, 1075.91314948])]","[array([ 0.01594057, -0.17067055,  0.46204156,  0.51991864,  1.49743639,
       -1.6910974 ])]"
33999,movel_fit,"[array([1157.39462469,  314.54763917, 1075.84671819])]","[array([ 0.04313091, -0.15889098,  0.44796699,  0.49750976,  1.50485452,
       -1.67408214])]"
34499,movel_fit,"[array([1155.33208057,  331.96676024, 1075.37496061])]","[array([ 0.07067954, -0.14662441,  0.43399072,  0.47442662,  1.51282425,
       -1.65690425])]"
34999,movel_fit,"[array([1152.86241852,  349.31550376, 1074.48466455])]","[array([ 0.09851223, -0.13385079,  0.42017692,  0.45080085,  1.52137627,
       -1.63955109])]"
35499,movel_fit,"[array([1149.97976546,  366.57252417, 1073.16489081])]","[array([ 0.12654165, -0.12054469,  0.40658512,  0.42678386,  1.53054293,
       -1.62200576])]"
35999,movel_fit,"[array([1146.68079671,  383.71581628, 1071.40725845])]","[array([ 0.1546684 , -0.10667844,  0.39326992,  0.40254487,  1.54035427,
       -1.60424909])]"
36499,movel_fit,"[array([1142.96488078,  400.72307073, 1069.20617364])]","[array([ 0.18278303, -0.09222418,  0.38027988,  0.37826723,  1.55083546,
       -1.58626086])]"
36999,movel_fit,"[array([1138.83414561,  417.57203423, 1066.55898815])]","[array([ 0.2107687 , -0.07715357,  0.36765506,  0.35414373,  1.56200708,
       -1.56801924])]"
37499,movel_fit,"[array([1134.29346143,  434.2408729 , 1063.46607685])]","[array([ 0.23850421, -0.06143567,  0.35542381,  0.33037151,  1.57388783,
       -1.54949873])]"
37999,movel_fit,"[array([1129.35034126,  450.70854229, 1059.93082719])]","[array([ 0.26586696, -0.04503432,  0.34360001,  0.30714757,  1.58649803,
       -1.5306674 ])]"
38499,movel_fit,"[array([1124.01476446,  466.95517006, 1055.95953743])]","[array([ 0.29273539, -0.02790799,  0.33218276,  0.28466523,  1.59986064,
       -1.51148556])]"
38999,movel_fit,"[array([1118.29893206,  482.96245335, 1051.56122462])]","[array([ 0.31899123, -0.01001432,  0.32115999,  0.26311128,  1.61399672,
       -1.49190762])]"
39499,movel_fit,"[array([1112.2169644 ,  498.71406202, 1046.74734748])]","[array([ 0.34452167,  0.0086792 ,  0.31051636,  0.24266292,  1.62891394,
       -1.47188839])]"
39999,movel_fit,"[array([1105.78455169,  514.19602205, 1041.53145381])]","[array([ 0.36922242,  0.02818002,  0.30024402,  0.22348333,  1.64458993,
       -1.45139317])]"
40499,movel_fit,"[array([1099.01856831,  529.3970352 , 1035.92876769])]","[array([ 0.3930018 ,  0.04845498,  0.29035298,  0.20571509,  1.66095526,
       -1.43040934])]"
40999,movel_fit,"[array([1091.93666328,  544.30867754, 1029.95573801])]","[array([ 0.41578584,  0.06942111,  0.28087651,  0.18947209,  1.67788413,
       -1.40895498])]"
41499,movel_fit,"[array([1084.55684383,  558.92542031, 1023.62957723])]","[array([ 0.43752287,  0.09095054,  0.27186741,  0.17483232,  1.69520136,
       -1.38707889])]"
41999,movel_fit,"[array([1076.89707658,  573.24443817, 1016.9678262 ])]","[array([ 0.45818535,  0.11289386,  0.26338345,  0.16183578,  1.71271061,
       -1.36484793])]"
42499,movel_fit,"[array([1068.97494044,  587.26521494, 1009.98798466])]","[array([ 0.4777665 ,  0.13511819,  0.25546572,  0.15049118,  1.73023894,
       -1.34232211])]"
42999,movel_fit,"[array([1060.80737089,  600.98901705, 1002.70724389])]","[array([ 0.49627173,  0.15754443,  0.24812024,  0.1407914 ,  1.74767959,
       -1.31952672])]"
43499,movel_fit,"[array([1052.41053125,  614.41836139,  995.1423441 ])]","[array([ 0.51370799,  0.18016141,  0.24131498,  0.13273177,  1.76500735,
       -1.29643741])]"
43999,movel_fit,"[array([1043.79982345,  627.55662628,  987.30955097])]","[array([ 0.53007712,  0.20300185,  0.23499825,  0.12632068,  1.78224981,
       -1.27299175])]"
44499,movel_fit,"[array([1034.99000741,  640.40791345,  979.22470693])]","[array([ 0.54537816,  0.22608639,  0.22913139,  0.12157426,  1.79942242,
       -1.24912789])]"
44999,movel_fit,"[array([1025.99534123,  652.97715374,  970.90327357])]","[array([ 0.55961883,  0.24936744,  0.22371642,  0.1184951 ,  1.81646419,
       -1.22483117])]"
45499,movel_fit,"[array([1016.82961194,  665.27029207,  962.36026448])]","[array([ 0.57282888,  0.27271515,  0.21879734,  0.11704799,  1.83322254,
       -1.20015659])]"
45999,movel_fit,"[array([1007.50594153,  677.29427897,  953.61000172])]","[array([ 0.58506305,  0.29597226,  0.21442745,  0.11715437,  1.84951629,
       -1.17519801])]"
46499,movel_fit,"[array([998.03637087, 689.05666867, 944.66573679])]","[array([ 0.59638578,  0.31905017,  0.21062376,  0.11871986,  1.86524475,
       -1.15001231])]"
46999,movel_fit,"[array([988.43144695, 700.56496388, 935.53934176])]","[array([ 0.60684947,  0.34196557,  0.2073577 ,  0.121673  ,  1.88042739,
       -1.12457597])]"
47499,movel_fit,"[array([978.70025038, 711.82632017, 926.2414025 ])]","[array([ 0.6165019 ,  0.36470131,  0.2046212 ,  0.12594965,  1.89504492,
       -1.09889275])]"
47999,movel_fit,"[array([968.85120487, 722.84826488, 916.78192812])]","[array([ 0.62544365,  0.3869505 ,  0.20251901,  0.13138258,  1.90875244,
       -1.07324602])]"
48499,movel_fit,"[array([958.89321764, 733.63977706, 907.17129407])]","[array([ 0.63386051,  0.40817596,  0.20121164,  0.13763778,  1.92095307,
       -1.04820596])]"
48999,movel_fit,"[array([948.83535037, 744.20940239, 897.42011103])]","[array([ 0.6418334 ,  0.42855669,  0.20056852,  0.1445794 ,  1.9318605 ,
       -1.02370862])]"
49499,movel_fit,"[array([938.68403713, 754.55861263, 887.53723694])]","[array([ 0.64897464,  0.44975337,  0.20001837,  0.15297063,  1.94332588,
       -0.99801542])]"
49999,movel_fit,"[array([928.45051728, 764.69851571, 877.53364591])]","[array([ 0.65586703,  0.46685645,  0.201129  ,  0.16160205,  1.94983887,
       -0.97587738])]"
