breakpoints,primitives,points,q_bp
25499,movel_fit,"[array([1069.17416738,   14.38448811,  992.31256062])]","[array([-0.2808609 , -0.53157874,  0.78830108,  0.60667314,  1.23599458,
       -1.83317573])]"
25999,movel_fit,"[array([1071.72066754,   24.33510837,  992.67163748])]","[array([-0.26166024, -0.50657267,  0.76850583,  0.58763209,  1.24825217,
       -1.77783672])]"
26499,movel_fit,"[array([1074.42798576,   34.24639211,  992.91785768])]","[array([-0.24252663, -0.47740692,  0.74620513,  0.56799679,  1.26460638,
       -1.72295206])]"
26999,movel_fit,"[array([1077.27102496,   44.1235329 ,  993.02299546])]","[array([-0.22374881, -0.44440208,  0.72175281,  0.5484923 ,  1.28502206,
       -1.66923721])]"
27499,movel_fit,"[array([1080.22086841,   53.96855097,  992.96212729])]","[array([-0.20559995, -0.40806586,  0.69562352,  0.52982874,  1.30924042,
       -1.61743384])]"
27999,movel_fit,"[array([1083.24716728,   63.78767884,  992.71527004])]","[array([-0.18830694, -0.36905353,  0.66837624,  0.51263038,  1.33679776,
       -1.56825811])]"
28499,movel_fit,"[array([1086.31663792,   73.58526525,  992.26890238])]","[array([-0.17204922, -0.32815274,  0.640636  ,  0.49740373,  1.367046  ,
       -1.52242894])]"
28999,movel_fit,"[array([1089.39479992,   83.36856091,  991.61727365])]","[array([-0.15694421, -0.28620943,  0.61303492,  0.48450572,  1.39922781,
       -1.48064876])]"
29499,movel_fit,"[array([1092.44429426,   93.1414445 ,  990.76403454])]","[array([-0.14305761, -0.24408709,  0.58617869,  0.47415059,  1.43253686,
       -1.4436406 ])]"
29999,movel_fit,"[array([1095.42908275,  102.9171428 ,  989.72215771])]","[array([-0.13039119, -0.2025448 ,  0.56056485,  0.46641235,  1.46624411,
       -1.41210925])]"
30499,movel_fit,"[array([1098.31140628,  112.70844677,  988.51515973])]","[array([-0.11890801, -0.16222746,  0.53657992,  0.46126629,  1.49973426,
       -1.38679472])]"
30999,movel_fit,"[array([1101.05073346,  122.52371498,  987.17822229])]","[array([-0.10854443, -0.12365129,  0.51449418,  0.4586144 ,  1.53253489,
       -1.3684733 ])]"
31499,movel_fit,"[array([1103.60682009,  132.37719699,  985.75688625])]","[array([-0.09920366, -0.08715527,  0.49444012,  0.45829822,  1.56436634,
       -1.35791492])]"
31999,movel_fit,"[array([1105.93738437,  142.28103578,  984.30748317])]","[array([-0.09076607, -0.05295227,  0.47644941,  0.460108  ,  1.59509915,
       -1.35587041])]"
32499,movel_fit,"[array([1107.99925985,  152.24965193,  982.89531554])]","[array([-0.08308108, -0.02115138,  0.4604694 ,  0.46377281,  1.62472602,
       -1.36301189])]"
32999,movel_fit,"[array([1109.74708299,  162.29305388,  981.59350789])]","[array([-0.07596618,  0.00816535,  0.44640357,  0.46893793,  1.65327549,
       -1.3798455 ])]"
33499,movel_fit,"[array([1111.13392526,  172.41394909,  980.47980088])]","[array([-0.06920329,  0.03487144,  0.43414283,  0.47513782,  1.6807163 ,
       -1.40656593])]"
33999,movel_fit,"[array([1112.11331361,  182.60845514,  979.63099977])]","[array([-0.06254294,  0.05872737,  0.42359463,  0.48178737,  1.70685383,
       -1.44288638])]"
34499,movel_fit,"[array([1112.64134673,  192.8581519 ,  979.11614788])]","[array([-0.05573289,  0.07929706,  0.41472478,  0.48820658,  1.73120355,
       -1.48784657])]"
34999,movel_fit,"[array([1112.68156359,  203.12387141,  978.98679397])]","[array([-0.0485673 ,  0.09591302,  0.40759145,  0.49370319,  1.75291489,
       -1.53968245])]"
35499,movel_fit,"[array([1112.20928749,  213.38175115,  979.26762374])]","[array([-0.0409152 ,  0.10776366,  0.40234452,  0.49772075,  1.77086782,
       -1.5960997 ])]"
35999,movel_fit,"[array([1111.21406144,  223.58624404,  979.95136965])]","[array([-0.03278099,  0.11392319,  0.39925883,  0.49993738,  1.78371675,
       -1.65438371])]"
36499,movel_fit,"[array([1109.70202319,  233.69637646,  980.9965203 ])]","[array([-0.02428099,  0.11353567,  0.39869513,  0.50033477,  1.79015155,
       -1.71193654])]"
36999,movel_fit,"[array([1107.69339506,  243.68537815,  982.332658  ])]","[array([-0.01558783,  0.10592931,  0.40106838,  0.49915724,  1.78909336,
       -1.76671308])]"
37499,movel_fit,"[array([1105.21892467,  253.54118091,  983.86914225])]","[array([-0.00686628,  0.09066441,  0.40682024,  0.49680727,  1.77979564,
       -1.81742163])]"
37999,movel_fit,"[array([1102.31726504,  263.26281195,  985.50418202])]","[array([ 1.77456617e-03,  6.75458363e-02,  4.16389509e-01,  4.93741400e-01,
        1.76187225e+00, -1.86349542e+00])]"
38499,movel_fit,"[array([1099.03139797,  272.86250109,  987.1341694 ])]","[array([ 0.01030815,  0.03661616,  0.43017908,  0.49040133,  1.73528052,
       -1.90494186])]"
38999,movel_fit,"[array([1095.40863717,  282.35865594,  988.65999598])]","[array([ 1.87850153e-02, -1.81170966e-03,  4.48495327e-01,  4.87188824e-01,
        1.70032226e+00, -1.94207337e+00])]"
39499,movel_fit,"[array([1091.50172123,  291.77144315,  989.99235425])]","[array([ 0.02731223, -0.04708916,  0.47145832,  0.48446517,  1.65767427,
       -1.97524321])]"
39999,movel_fit,"[array([1087.36965986,  301.12158599,  991.05677618])]","[array([ 0.03602335, -0.09818045,  0.49890838,  0.48255636,  1.60840644,
       -2.00461784])]"
40499,movel_fit,"[array([1083.07801035,  310.43107418,  991.79819756])]","[array([ 0.0450416 , -0.15367871,  0.53035173,  0.48175804,  1.55393653,
       -2.03000558])]"
40999,movel_fit,"[array([1078.70093913,  319.72014665,  992.18446862])]","[array([ 0.05443649, -0.21189396,  0.56496919,  0.48234554,  1.49592036,
       -2.05075599])]"
41499,movel_fit,"[array([1074.31779126,  329.01600232,  992.20945777])]","[array([ 0.06419924, -0.27110399,  0.60175906,  0.4845965 ,  1.43599018,
       -2.06578098])]"
41999,movel_fit,"[array([1070.01736257,  338.3452524 ,  991.89401365])]","[array([ 0.0742228 , -0.32973918,  0.63968143,  0.48882255,  1.37556582,
       -2.07360758])]"
42499,movel_fit,"[array([1065.89579783,  347.74049788,  991.28631906])]","[array([ 0.08433122, -0.3866123 ,  0.67785022,  0.49538639,  1.31562033,
       -2.07247865])]"
42999,movel_fit,"[array([1062.05844781,  357.23930567,  990.46072153])]","[array([ 0.09434803, -0.44099777,  0.71562842,  0.50465849,  1.25658279,
       -2.06038936])]"
43499,movel_fit,"[array([1058.62336754,  366.87853147,  989.51605039])]","[array([ 0.10421551, -0.49256161,  0.75259879,  0.51684532,  1.19837135,
       -2.03507202])]"
43999,movel_fit,"[array([1055.72188055,  376.69084128,  988.57179874])]","[array([ 0.11417158, -0.54117368,  0.78841852,  0.53162725,  1.1405245 ,
       -1.99398645])]"
44499,movel_fit,"[array([1053.49791142,  386.68963606,  987.76089599])]","[array([ 0.12492042, -0.5865011 ,  0.82249124,  0.54757445,  1.08257678,
       -1.93453331])]"
44999,movel_fit,"[array([1052.09648231,  396.85254274,  987.21409317])]","[array([ 0.13762927, -0.62744168,  0.85353893,  0.56157626,  1.02473418,
       -1.85480343])]"
45499,movel_fit,"[array([1051.63768062,  407.10893611,  987.03317083])]","[array([ 0.15344535, -0.66161753,  0.87931782,  0.56902437,  0.96882462,
       -1.75504646])]"
45999,movel_fit,"[array([1052.18305158,  417.36266646,  987.25959628])]","[array([ 0.17253033, -0.68555694,  0.89695624,  0.56563219,  0.91885727,
       -1.63911075])]"
46499,movel_fit,"[array([1053.71586239,  427.50348333,  987.85674617])]","[array([ 0.19330566, -0.69576274,  0.90387583,  0.55030465,  0.88049082,
       -1.51497017])]"
46999,movel_fit,"[array([1056.14653014,  437.44923545,  988.71733949])]","[array([ 0.21294666, -0.69016505,  0.89875755,  0.52655898,  0.8589737 ,
       -1.39282285])]"
47499,movel_fit,"[array([1059.34248315,  447.16626892,  989.69226414])]","[array([ 0.22876429, -0.66861846,  0.88171579,  0.50073343,  0.85723673,
       -1.28182439])]"
47999,movel_fit,"[array([1063.15797175,  456.66291937,  990.62107298])]","[array([ 0.23923361, -0.63238113,  0.85387026,  0.47867498,  0.87545414,
       -1.18753464])]"
48499,movel_fit,"[array([1067.44977147,  465.97121269,  991.35297432])]","[array([ 0.24416643, -0.58343802,  0.8169231 ,  0.46364504,  0.9117152 ,
       -1.1113416 ])]"
48999,movel_fit,"[array([1072.08362734,  475.13639016,  991.759651  ])]","[array([ 0.24436214, -0.52415403,  0.77295656,  0.45625978,  0.96286   ,
       -1.05158998])]"
49499,movel_fit,"[array([1076.92878288,  484.1994984 ,  991.74312073])]","[array([ 0.24112588, -0.45729561,  0.72442193,  0.45558538,  1.02497408,
       -1.00550253])]"
49999,movel_fit,"[array([1081.86008932,  493.20300908,  991.24329515])]","[array([ 0.23583979, -0.38594849,  0.67399121,  0.46026417,  1.09382814,
       -0.97073957])]"
