primitives,p_bp,q_bp
moveabsj,"[array([-867.37090973, -318.89318715,  737.76946822])]","[array([-0.15994897, -0.3674456 , -3.01396232,  0.5870232 ,  0.56539545,
        0.56275394])]"
moveabsj,"[array([-864.83015212, -324.94226478,  737.06648111])]","[array([-0.15331843, -0.36829583, -3.01481133,  0.58726613,  0.56270141,
        0.56429413])]"
moveabsj,"[array([-862.60267093, -331.30917351,  731.5831196 ])]","[array([-0.1464338 , -0.37225562, -3.0190157 ,  0.58811486,  0.55764007,
        0.56560043])]"
moveabsj,"[array([-860.68035348, -337.99746244,  720.62738289])]","[array([-0.13932351, -0.37988763, -3.02701408,  0.58964715,  0.54991768,
        0.56668539])]"
moveabsj,"[array([-858.84219881, -344.99571881,  703.50515325])]","[array([-0.13206189, -0.39161878, -3.03955118,  0.59181009,  0.53940216,
        0.56774571])]"
moveabsj,"[array([-856.85243936, -352.20012073,  679.90517052])]","[array([-0.12483585, -0.40798424, -3.05655678,  0.59498921,  0.52551974,
        0.56847494])]"
moveabsj,"[array([-854.17612294, -359.49431184,  649.65133663])]","[array([-0.11786203, -0.42932385, -3.07835943,  0.59896615,  0.50837388,
        0.56927061])]"
moveabsj,"[array([-850.17469733, -366.76052952,  613.45694805])]","[array([-0.11132399, -0.45551344, -3.10448641,  0.60382493,  0.48803249,
        0.57010696])]"
moveabsj,"[array([-844.33429134, -373.85566073,  573.08239034])]","[array([-0.10538947, -0.48588174, -3.13345053,  0.60950665,  0.46486651,
        0.5708744 ])]"
moveabsj,"[array([-836.25042868, -380.74151909,  531.14153533])]","[array([-0.10003328, -0.51865053, -3.1637602 ,  0.61523457,  0.44023111,
        0.57194367])]"
moveabsj,"[array([-826.25989457, -387.40839517,  490.93845892])]","[array([-0.09507963, -0.55142212, -3.19285389,  0.62077284,  0.41545889,
        0.57279935])]"
moveabsj,"[array([-815.19126132, -393.86419952,  455.31353166])]","[array([-0.09028133, -0.58163529, -3.218635  ,  0.62573843,  0.39217946,
        0.573082  ])]"
moveabsj,"[array([-804.06671916, -400.1018341 ,  426.07574008])]","[array([-0.0854134 , -0.60718896, -3.23993222,  0.62921276,  0.37224684,
        0.57321452])]"
moveabsj,"[array([-793.96686159, -406.11256933,  404.2844176 ])]","[array([-0.08027712, -0.6265103 , -3.25591101,  0.63081135,  0.35696039,
        0.57330702])]"
moveabsj,"[array([-785.89191975, -411.92775537,  390.73741244])]","[array([-0.07464009, -0.63818729, -3.2658683 ,  0.63102072,  0.34714637,
        0.57275894])]"
moveabsj,"[array([-780.78918497, -417.4446723 ,  385.76502683])]","[array([-0.06853578, -0.64188281, -3.26882691,  0.62889883,  0.3439535 ,
        0.5723754 ])]"
moveabsj,"[array([-779.12991593, -422.66978207,  390.57967665])]","[array([-0.06190767, -0.63573336, -3.26430415,  0.62579997,  0.34744589,
        0.57057591])]"
moveabsj,"[array([-780.91329833, -427.5439636 ,  405.93122501])]","[array([-0.0549335 , -0.6190606 , -3.25186897,  0.62123866,  0.35784625,
        0.56748412])]"
moveabsj,"[array([-785.54514161, -432.41873687,  431.53787343])]","[array([-0.04721895, -0.59325859, -3.23127761,  0.6134342 ,  0.37635813,
        0.56484745])]"
moveabsj,"[array([-791.58010504, -437.38639647,  468.25441594])]","[array([-0.03898159, -0.55767486, -3.20261566,  0.60349856,  0.40082086,
        0.56084152])]"
moveabsj,"[array([-797.16799334, -442.93253347,  514.20110821])]","[array([-0.02981781, -0.5156656 , -3.16655931,  0.5911614 ,  0.42981382,
        0.55611017])]"
moveabsj,"[array([-800.23895235, -449.15336738,  565.46337595])]","[array([-0.01992319, -0.47154535, -3.12603554,  0.57724377,  0.4597888 ,
        0.55123372])]"
moveabsj,"[array([-799.77182716, -455.7331478 ,  615.99342649])]","[array([-0.00991107, -0.4306308 , -3.08576252,  0.56329631,  0.48688862,
        0.54727444])]"
moveabsj,"[array([-796.27550323, -462.14906996,  659.77090626])]","[array([-5.31083558e-04, -3.97049630e-01, -3.05072063e+00,  5.51141327e-01,
        5.08262969e-01,  5.44899604e-01])]"
moveabsj,"[array([-791.2973923 , -468.24811182,  692.0612582 ])]","[array([ 0.00805482, -0.37347444, -3.02484191,  0.54221706,  0.52294422,
        0.54421175])]"
moveabsj,"[array([-786.32563002, -473.98348505,  709.9546007 ])]","[array([ 0.01573488, -0.36081583, -3.01091835,  0.53812683,  0.52946156,
        0.54435445])]"
moveabsj,"[array([-782.64658022, -479.30792475,  710.43771074])]","[array([ 0.02237433, -0.36089748, -3.01164965,  0.53907839,  0.52760491,
        0.54602259])]"
moveabsj,"[array([-780.46072727, -484.01509645,  692.77699952])]","[array([ 0.02767004, -0.37427793, -3.02782253,  0.54556188,  0.51668686,
        0.54921866])]"
moveabsj,"[array([-778.49955977, -487.93557343,  658.2580933 ])]","[array([ 0.03144487, -0.40058227, -3.05882868,  0.5563523 ,  0.49709175,
        0.55526064])]"
moveabsj,"[array([-774.68826341, -491.69185281,  610.52197218])]","[array([ 0.03476086, -0.43876106, -3.10088187,  0.57173859,  0.46857223,
        0.56308224])]"
moveabsj,"[array([-746.71637339, -506.15630555,  459.33246369])]","[array([ 0.05225801, -0.57869777, -3.22683432,  0.63429492,  0.37043908,
        0.57892563])]"
