primitives,points,q_bp
movel_fit,"[array([1086.62742682,   73.50523986,  992.73793012])]","[array([-0.17191467, -0.32790562,  0.64000646,  0.497117  ,  1.36729275,
       -1.52209788])]"
movel_fit,"[array([1089.74389748,   83.31651711,  992.12092694])]","[array([-0.15678948, -0.28578511,  0.61227202,  0.48419879,  1.39963346,
       -1.48022038])]"
movel_fit,"[array([1092.8486417 ,   93.07043497,  991.18068754])]","[array([-0.14291401, -0.24348526,  0.58537116,  0.47385202,  1.43299252,
       -1.44321223])]"
movel_fit,"[array([1095.9207914 ,  102.76899964,  989.80907759])]","[array([-0.13030675, -0.20174538,  0.55985557,  0.46614038,  1.4665692 ,
       -1.41182347])]"
movel_fit,"[array([1098.85278694,  112.52857503,  988.30107472])]","[array([-0.11886352, -0.16127246,  0.53598878,  0.46102071,  1.4999253 ,
       -1.38662528])]"
movel_fit,"[array([1101.5769771 ,  122.34445085,  986.87410415])]","[array([-0.10852314, -0.1226502 ,  0.51395459,  0.45839033,  1.53271142,
       -1.36833947])]"
movel_fit,"[array([1104.10297451,  132.19078038,  985.41634324])]","[array([-0.09920456, -0.08614365,  0.49393793,  0.45809396,  1.56455559,
       -1.35780002])]"
movel_fit,"[array([1106.41957045,  142.12340965,  983.90226345])]","[array([-0.09075937, -0.05189909,  0.4759814 ,  0.45993732,  1.59528159,
       -1.35574941])]"
movel_fit,"[array([1108.48065983,  152.09916426,  982.39898848])]","[array([-0.08309165, -0.02005172,  0.46004506,  0.46362928,  1.62488528,
       -1.36291538])]"
movel_fit,"[array([1110.22530802,  162.13548837,  980.99934397])]","[array([-0.07599592,  0.00930125,  0.44602646,  0.46882393,  1.65340193,
       -1.37977841])]"
movel_fit,"[array([1111.60538069,  172.29800003,  979.9496606 ])]","[array([-0.06923331,  0.03601747,  0.43373295,  0.4750854 ,  1.68091653,
       -1.40644854])]"
movel_fit,"[array([1112.63137676,  182.54274392,  979.13370928])]","[array([-0.06257972,  0.05994914,  0.42313716,  0.48181184,  1.70710471,
       -1.44273044])]"
movel_fit,"[array([1113.23230451,  192.80664153,  978.22050557])]","[array([-0.05577882,  0.08071267,  0.41439492,  0.48826288,  1.73123972,
       -1.48780267])]"
movel_fit,"[array([1113.25636694,  203.13335527,  977.792452  ])]","[array([-0.04858729,  0.09741149,  0.40743025,  0.49378626,  1.75273975,
       -1.53972668])]"
movel_fit,"[array([1112.69859359,  213.47297329,  978.16583863])]","[array([-0.04089569,  0.1091267 ,  0.4022526 ,  0.4978469 ,  1.77066658,
       -1.59612698])]"
movel_fit,"[array([1111.63693625,  223.71729623,  978.95482229])]","[array([-0.0327475 ,  0.1151526 ,  0.3991971 ,  0.50008256,  1.78352882,
       -1.65440057])]"
movel_fit,"[array([1110.10400277,  233.8940358 ,  980.03710487])]","[array([-0.02421525,  0.11466287,  0.39866664,  0.50050535,  1.7899058 ,
       -1.71196515])]"
