breakpoints,primitives,points,q_bp
21333,movel_fit,"[array([1069.78043385, -233.26203685, 1003.54268764])]","[array([-0.51839994, -0.36371213,  0.6813104 ,  0.52957978,  1.45348649,
       -2.89051854])]"
21500,movel_fit,"[array([1068.33769089, -229.63098307, 1003.18048695])]","[array([-0.51604588, -0.36537032,  0.68276149,  0.52945559,  1.45457845,
       -2.89012205])]"
21666,movel_fit,"[array([1066.8490466 , -226.0664533 , 1002.80644343])]","[array([-0.51373274, -0.367061  ,  0.68423003,  0.52929165,  1.45565723,
       -2.88972225])]"
21833,movel_fit,"[array([1065.29650051, -222.52667752, 1002.41607651])]","[array([-0.51143344, -0.36880522,  0.68573379,  0.52908553,  1.45673582,
       -2.88931445])]"
22000,movel_fit,"[array([1063.68881985, -219.03446694, 1002.01162723])]","[array([-0.50916281, -0.37059365,  0.68726407,  0.52883767,  1.45780764,
       -2.88890119])]"
22166,movel_fit,"[array([1062.03612602, -215.61151226, 1001.59567996])]","[array([-0.50693499, -0.37241584,  0.68881152,  0.52854949,  1.45886629,
       -2.88848512])]"
22333,movel_fit,"[array([1060.31854953, -212.21780044, 1001.16326915])]","[array([-0.50472397, -0.37429443,  0.6903948 ,  0.5282171 ,  1.45992442,
       -2.88806137])]"
22500,movel_fit,"[array([1058.54597255, -208.87534375, 1000.71691688])]","[array([-0.50254408, -0.37621923,  0.69200467,  0.52784168,  1.46097554,
       -2.88763259])]"
22666,movel_fit,"[array([1056.72964669, -205.60493646, 1000.25949378])]","[array([-0.50040893, -0.37817896,  0.69363123,  0.52742549,  1.4620133 ,
       -2.88720156])]"
22833,movel_fit,"[array([1054.84789379, -202.36842661,  999.78558027])]","[array([-0.49829365, -0.38019785,  0.69529401,  0.52696314,  1.46305004,
       -2.88676326])]"
23000,movel_fit,"[array([1052.91176348, -199.18693083,  999.29800367])]","[array([-0.49621203, -0.38226485,  0.69698321,  0.52645667,  1.4640793 ,
       -2.88632048])]"
23166,movel_fit,"[array([1050.93367535, -196.08024607,  998.79994196])]","[array([-0.49417708, -0.38436773,  0.69868835,  0.52590921,  1.46509479,
       -2.88587612])]"
23333,movel_fit,"[array([1048.89021167, -193.01218082,  998.28555779])]","[array([-0.49216512, -0.38653238,  0.70042981,  0.5253139 ,  1.4661085 ,
       -2.88542506])]"
