breakpoints,primitives,p_bp,q_bp
31000,movel_fit,"[array([1475.56108622, -688.10151063, 1226.4889571 ])]","[array([-0.66284105,  0.34248534, -0.1437971 , -2.63144147, -1.68456623,
       -2.61455839])]"
31500,movel_fit,"[array([1474.22723963, -679.80592524, 1241.91028679])]","[array([-0.65456194,  0.33259883, -0.15105792, -2.64320102, -1.68707389,
       -2.62150703])]"
32000,movel_fit,"[array([1472.56654071, -671.24200632, 1257.12463905])]","[array([-0.64583726,  0.32202957, -0.15773342, -2.65602563, -1.68869189,
       -2.62847937])]"
32500,movel_fit,"[array([1470.56343091, -662.4061926 , 1272.16986486])]","[array([-0.63664372,  0.3107209 , -0.16374989, -2.66994462, -1.6893686 ,
       -2.63543797])]"
33000,movel_fit,"[array([1468.19037387, -653.32322303, 1287.01937967])]","[array([-0.62697515,  0.2986397 , -0.16901369, -2.68496436, -1.68904957,
       -2.64237203])]"
33500,movel_fit,"[array([1465.40977775, -643.9811639 , 1301.62334218])]","[array([-0.61681218,  0.2857369 , -0.17340482, -2.70107031, -1.68769837,
       -2.64926814])]"
34000,movel_fit,"[array([1462.23021234, -634.36888071, 1315.95332298])]","[array([-0.60613426,  0.27200176, -0.17683791, -2.71823868, -1.6852837 ,
       -2.65611988])]"
34500,movel_fit,"[array([1458.67176822, -624.40435652, 1329.97401583])]","[array([-0.59489741,  0.25744598, -0.17924402, -2.73645132, -1.68179938,
       -2.66293004])]"
35000,movel_fit,"[array([1454.76097712, -614.09974659, 1343.64401893])]","[array([-0.58308058,  0.24210137, -0.18059235, -2.75565455, -1.67729831,
       -2.66971192])]"
35500,movel_fit,"[array([1450.43309244, -603.51260538, 1356.96733267])]","[array([-0.57068924,  0.22601194, -0.18087156, -2.77584244, -1.67184307,
       -2.67653833])]"
36000,movel_fit,"[array([1445.6304608 , -592.72686686, 1369.95486046])]","[array([-0.55772772,  0.20922279, -0.18007471, -2.7969757 , -1.66552756,
       -2.68348164])]"
36500,movel_fit,"[array([1440.35753138, -581.74994958, 1382.60475869])]","[array([-0.54417624,  0.1918141 , -0.17823337, -2.81901013, -1.65846938,
       -2.69060752])]"
37000,movel_fit,"[array([1434.78422343, -570.39029575, 1394.79251682])]","[array([-0.52994658,  0.17392776, -0.17540957, -2.84187142, -1.65080296,
       -2.69793384])]"
37500,movel_fit,"[array([1428.92653388, -558.66115921, 1406.46150888])]","[array([-0.51502958,  0.15568796, -0.17162733, -2.86549855, -1.64264715,
       -2.70556095])]"
38000,movel_fit,"[array([1422.62369914, -546.7877184 , 1417.76600319])]","[array([-0.49948425,  0.1371727 , -0.16703758, -2.88988892, -1.63426164,
       -2.71363856])]"
38500,movel_fit,"[array([1415.86298981, -534.76986425, 1428.66639309])]","[array([-0.48328334,  0.11851743, -0.16171233, -2.91502498, -1.62581688,
       -2.7222906 ])]"
39000,movel_fit,"[array([1408.79149694, -522.53201099, 1439.07374286])]","[array([-0.46637616,  0.09990869, -0.15578616, -2.94086096, -1.6175269 ,
       -2.7316005 ])]"
39500,movel_fit,"[array([1401.36794879, -510.10319203, 1449.01142022])]","[array([-0.44875405,  0.08148019, -0.14938122, -2.96739064, -1.60960971,
       -2.74168814])]"
40000,movel_fit,"[array([1393.58437275, -497.52846485, 1458.50230706])]","[array([-0.43039909,  0.06334907, -0.14260293, -2.99460864, -1.6022746 ,
       -2.75263581])]"
40500,movel_fit,"[array([1385.52896146, -484.76386758, 1467.50299886])]","[array([-0.4113195 ,  0.04566317, -0.13555164, -3.02241396, -1.59569361,
       -2.76447008])]"
41000,movel_fit,"[array([1377.20202211, -471.83978756, 1476.03250178])]","[array([-0.39155387,  0.02850674, -0.12828911, -3.05070742, -1.59000093,
       -2.77718361])]"
41500,movel_fit,"[array([1368.61039777, -458.83023432, 1484.07784009])]","[array([-0.37119034,  0.01192601, -0.1208426 , -3.07933907, -1.58528941,
       -2.79073958])]"
42000,movel_fit,"[array([1359.72512825, -445.72669796, 1491.67796838])]","[array([-0.35029904, -0.00406333, -0.11320797, -3.10815457, -1.58160179,
       -2.80504369])]"
42500,movel_fit,"[array([1350.58594137, -432.5492721 , 1498.86217587])]","[array([-0.32896784, -0.01943207, -0.10544296, -3.13697462, -1.57901312,
       -2.81999913])]"
43000,movel_fit,"[array([1341.23898261, -419.32346815, 1505.61160474])]","[array([-0.30725994, -0.03411887, -0.0975887 , -3.16568492, -1.57756943,
       -2.83555075])]"
43500,movel_fit,"[array([1331.61082868, -406.07023191, 1511.9655957 ])]","[array([-0.28518571, -0.04808291, -0.08969644, -3.19428711, -1.57738981,
       -2.85169356])]"
44000,movel_fit,"[array([1321.83882482, -392.72788855, 1517.88974953])]","[array([-0.26269136, -0.06119692, -0.08189098, -3.22281016, -1.57862049,
       -2.86839388])]"
44500,movel_fit,"[array([1311.86729136, -379.37554901, 1523.4226885 ])]","[array([-0.2397985 , -0.07337083, -0.07424376, -3.25131359, -1.58137754,
       -2.88569676])]"
45000,movel_fit,"[array([1301.77913104, -365.92856422, 1528.5598995 ])]","[array([-0.21649487, -0.08454489, -0.06679596, -3.27973206, -1.5857508 ,
       -2.90346999])]"
45500,movel_fit,"[array([1291.56863662, -352.4764585 , 1533.32155568])]","[array([-0.19292267, -0.09471051, -0.05955318, -3.30789748, -1.59171227,
       -2.9216097 ])]"
46000,movel_fit,"[array([1281.18291445, -339.01886753, 1537.74987665])]","[array([-0.16918122, -0.10395654, -0.05245228, -3.33564313, -1.59918736,
       -2.93992979])]"
46500,movel_fit,"[array([1270.71434044, -325.54440909, 1541.8406262 ])]","[array([-0.14535874, -0.11229462, -0.0454688 , -3.36283506, -1.608049  ,
       -2.95829653])]"
47000,movel_fit,"[array([1260.05180492, -312.10128275, 1545.61908159])]","[array([-0.12144545, -0.11976736, -0.03855816, -3.38957037, -1.6183013 ,
       -2.97670211])]"
47500,movel_fit,"[array([1249.4141082 , -298.58078106, 1549.01056618])]","[array([-0.09743924, -0.12631652, -0.03172028, -3.41579581, -1.62985912,
       -2.99500993])]"
48000,movel_fit,"[array([1238.62127163, -285.08557598, 1552.10258577])]","[array([-0.07359089, -0.1321771 , -0.02483621, -3.44118132, -1.64247993,
       -3.01298221])]"
48500,movel_fit,"[array([1227.66694443, -271.69349896, 1555.051072  ])]","[array([-0.05043139, -0.13774751, -0.01783128, -3.46481563, -1.65554335,
       -3.03014331])]"
49000,movel_fit,"[array([1216.66861088, -258.24041784, 1557.67682883])]","[array([-0.02776988, -0.14304273, -0.01062425, -3.486957  , -1.66892663,
       -3.04651162])]"
49500,movel_fit,"[array([1205.79737241, -244.65470766, 1559.77135727])]","[array([-4.07610373e-03, -1.46786868e-01, -3.50028726e-03, -3.51047768e+00,
       -1.68437167e+00, -3.06343023e+00])]"
50000,movel_fit,"[array([1129.33741422, -152.33122592, 1574.1036156 ])]","[array([ 0.13816237, -0.17757041,  0.04707343, -3.62100683, -1.78077528,
       -3.15119537])]"
