breakpoints,primitives,points,q_bp
36926,movel_fit,"[array([947.2665327 , 242.23509662, 757.12275968])]","[array([-0.01023754,  0.22246778, -0.12574394, -0.52694711, -1.92610806,
        1.67171915])]"
37425,movel_fit,"[array([944.86306353, 252.09114109, 758.6330154 ])]","[array([-4.50446105e-04,  2.07259730e-01, -1.32909341e-01, -5.24399259e-01,
       -1.91704751e+00,  1.72303612e+00])]"
37924,movel_fit,"[array([942.02813338, 261.81263234, 760.25671948])]","[array([ 0.00932404,  0.18357284, -0.1450582 , -0.52015227, -1.89899751,
        1.7703686 ])]"
38423,movel_fit,"[array([938.80377181, 271.41055098, 761.89076285])]","[array([ 0.01906856,  0.15134755, -0.16267905, -0.51470578, -1.87179956,
        1.81351911])]"
38922,movel_fit,"[array([935.23642013, 280.90224426, 763.43553671])]","[array([ 0.02885378,  0.11081097, -0.1861224 , -0.50857434, -1.83565775,
        1.8525836 ])]"
39421,movel_fit,"[array([931.37768426, 290.30749078, 764.80043043])]","[array([ 0.03881935,  0.0625534 , -0.21549141, -0.50226366, -1.79117523,
        1.88770515])]"
39920,movel_fit,"[array([927.28504065, 299.64724116, 765.90889033])]","[array([ 0.04914282,  0.00759619, -0.25053027, -0.4962515 , -1.73938134,
        1.91886005])]"
40419,movel_fit,"[array([923.02242182, 308.94348777, 766.70289984])]","[array([ 0.05999848, -0.05260361, -0.2905595 , -0.49096787, -1.6817006 ,
        1.94569672])]"
40918,movel_fit,"[array([918.66256811, 318.21569535, 767.14657315])]","[array([ 0.07150582, -0.11622797, -0.33448866, -0.48678394, -1.61985343,
        1.96744255])]"
41417,movel_fit,"[array([914.28349096, 327.48977932, 767.22958789])]","[array([ 0.08369741, -0.18136502, -0.38099988, -0.48401429, -1.55558316,
        1.9829296 ])]"
41916,movel_fit,"[array([909.97152164, 336.79301124, 766.96822951])]","[array([ 0.09649049, -0.2462365 , -0.42874451, -0.48294812, -1.49043167,
        1.99064565])]"
42415,movel_fit,"[array([905.82108223, 346.15656117, 766.40592788])]","[array([ 0.10970498, -0.30943899, -0.47656599, -0.48387353, -1.42550504,
        1.98882229])]"
42914,movel_fit,"[array([901.93594512, 355.61529694, 765.61250468])]","[array([ 0.12313126, -0.37006018, -0.52362712, -0.4870536 , -1.36134942,
        1.97547425])]"
43413,movel_fit,"[array([898.43011206, 365.20880524, 764.68207134])]","[array([ 0.13666443, -0.42766271, -0.5694154 , -0.49259209, -1.29793158,
        1.94836316])]"
43912,movel_fit,"[array([895.43221298, 374.97010128, 763.73033849])]","[array([ 0.15048706, -0.48203775, -0.61353942, -0.50011614, -1.23482917,
        1.90496995])]"
44411,movel_fit,"[array([893.08366109, 384.91677257, 762.88797785])]","[array([ 0.16527575, -0.5328103 , -0.65538417, -0.508261  , -1.1715806 ,
        1.84264986])]"
44910,movel_fit,"[array([891.52985844, 395.03383605, 762.28696131])]","[array([ 0.18223286, -0.57881786, -0.69360203, -0.5141552 , -1.10839246,
        1.75931786])]"
45409,movel_fit,"[array([890.89696772, 405.26102264, 762.0358866 ])]","[array([ 0.20260237, -0.61752711, -0.72572079, -0.51359828, -1.04714526,
        1.65493396])]"
45908,movel_fit,"[array([891.25869476, 415.50174476, 762.18864319])]","[array([ 0.22654328, -0.64511301, -0.74838426, -0.50284168, -0.99211774,
        1.53334982])]"
46407,movel_fit,"[array([892.61297616, 425.65037357, 762.72314718])]","[array([ 0.25214364, -0.65763781, -0.75840727, -0.48154694, -0.94941039,
        1.40311961])]"
46906,movel_fit,"[array([894.88212283, 435.61601185, 763.54380714])]","[array([ 0.27582603, -0.6526779 , -0.75396037, -0.45426613, -0.92479782,
        1.2758844 ])]"
47405,movel_fit,"[array([897.93978852, 445.35657236, 764.50763835])]","[array([ 0.29411347, -0.63003195, -0.73495657, -0.42826664, -0.92145876,
        1.16226838])]"
47904,movel_fit,"[array([901.6420753 , 454.87417947, 765.45538849])]","[array([ 0.30507095, -0.59112751, -0.70257516, -0.40961961, -0.93950699,
        1.06844322])]"
48403,movel_fit,"[array([905.84529189, 464.19680214, 766.23411044])]","[array([ 0.3085908 , -0.53817098, -0.65870583, -0.40094737, -0.9768681 ,
        0.99531943])]"
48902,movel_fit,"[array([910.41416101, 473.3676406 , 766.71128583])]","[array([ 0.30590511, -0.47369947, -0.60566639, -0.40173663, -1.03026271,
        0.94007354])]"
49401,movel_fit,"[array([915.21841461, 482.4290516 , 766.78313286])]","[array([ 0.29890101, -0.40060026, -0.54619414, -0.40991658, -1.09569987,
        0.89859809])]"
49900,movel_fit,"[array([920.13272111, 491.42308855, 766.38208255])]","[array([ 0.28952717, -0.32212905, -0.48336833, -0.42329063, -1.16879519,
        0.86744816])]"
