primitives,p_bp,q_bp
movec_fit,"[array([1463.24242265, -796.36484575,  964.35934034]), array([1467.65051121, -783.28764852, 1002.80959106])]","[array([-0.75417906,  0.44065018,  0.00376279, -2.55439714, -1.55782223,
       -2.50851603]), array([-0.74528079,  0.43146194, -0.01789205, -2.55472646, -1.58402464,
       -2.52221107])]"
movec_fit,"[array([1471.251824  , -770.60323417, 1036.97468092]), array([1474.225152  , -757.57860162, 1071.02362361])]","[array([-0.73538868,  0.42161019, -0.03766462, -2.55932071, -1.60452408,
       -2.53580785]), array([-0.72529866,  0.4117027 , -0.05765754, -2.56437154, -1.62453005,
       -2.54940789])]"
movec_fit,"[array([1476.25382877, -744.76964956, 1103.68383664]), array([1477.52884188, -731.39460882, 1136.09802253])]","[array([-0.71442086,  0.40054671, -0.07700885, -2.57303233, -1.64129727,
       -2.56263896]), array([-0.70326618,  0.38888493, -0.09593595, -2.58226595, -1.65714116,
       -2.5760104 ])]"
movec_fit,"[array([1477.87996654, -718.10243944, 1166.09734094]), array([1477.3319303 , -704.18402215, 1195.74320647])]","[array([-0.69102289,  0.37527014, -0.11281616, -2.59601898, -1.66814382,
       -2.58836554]), array([-0.67848395,  0.36093208, -0.12877425, -2.61038646, -1.67816629,
       -2.60109882])]"
movec_fit,"[array([1475.66368784, -689.39394675, 1225.28838471]), array([1472.9125904 , -673.76492462, 1254.28748307])]","[array([-0.66372054,  0.34363898, -0.14389414, -2.63087158, -1.68459863,
       -2.61393243]), array([-0.64849902,  0.32531959, -0.15736971, -2.65201003, -1.68980992,
       -2.62725076])]"
movec_fit,"[array([1469.11887289, -657.02516342, 1282.18270283]), array([1464.09239605, -639.27193235, 1309.2473072 ])]","[array([-0.63045044,  0.3032152 , -0.1681628 , -2.6801478 , -1.68955477,
       -2.63992539]), array([-0.61175569,  0.27976896, -0.17634027, -2.70880434, -1.68776206,
       -2.65301148])]"
movec_fit,"[array([1456.02311219, -617.07885258, 1340.53904793]), array([1445.89753992, -593.7333341 , 1370.23784747])]","[array([-0.58600639,  0.24626893, -0.18121941, -2.75135485, -1.67856989,
       -2.66796287]), array([-0.55895637,  0.21091704, -0.18171472, -2.79504365, -1.66740457,
       -2.68330249])]"
movec_fit,"[array([1427.0982894 , -553.88828079, 1411.09270555]), array([1402.57521509, -513.64066954, 1448.33084955])]","[array([-0.50844022,  0.14934954, -0.17122026, -2.87549981, -1.64004514,
       -2.70995593]), array([-0.45402104,  0.08380669, -0.15026172, -2.96028132, -1.60974519,
       -2.73604607])]"
movec_fit,"[array([1385.91437288, -485.16021308, 1467.90284731]), array([1367.62229467, -456.59323197, 1485.83195339])]","[array([-0.41194668,  0.04649355, -0.13673889, -3.02135721, -1.59642006,
       -2.76443758]), array([-0.36714177,  0.0084623 , -0.11935021, -3.08507692, -1.58295959,
       -2.79222112])]"
movec_fit,"[array([1349.90947617, -431.36221868, 1500.09001863]), array([1331.51137733, -405.85436127, 1512.62029868])]","[array([-0.32722296, -0.02053574, -0.10558003, -3.13894245, -1.57916346,
       -2.82188884]), array([-0.28440183, -0.04928075, -0.08918322, -3.19560727, -1.57603464,
       -2.850992  ])]"
movec_fit,"[array([1312.08493734, -379.65566997, 1524.01270188]), array([1292.05132424, -353.45277207, 1533.93715157])]","[array([-0.24049375, -0.07289967, -0.07536316, -3.25022895, -1.58188609,
       -2.88580562]), array([-0.19397624, -0.09567908, -0.05933919, -3.30711887, -1.58942655,
       -2.92044551])]"
movec_fit,"[array([1270.35281563, -324.61756642, 1542.54959071]), array([1248.0273475 , -296.03380279, 1550.03889647])]","[array([-0.14404633, -0.11237345, -0.04597883, -3.36395655, -1.6089913 ,
       -2.95922329]), array([-0.0924635 , -0.12837837, -0.02997708, -3.42127625, -1.63003609,
       -2.99819738])]"
movec_fit,"[array([1189.65680669, -225.60177862, 1562.81952728]), array([1114.87384421, -137.23292351, 1571.57855243])]","[array([-6.51017768e-03, -1.67301080e-01,  3.36163328e-03, -3.48159417e+00,
       -1.68324983e+00, -3.01236032e+00]), array([ 0.16534863, -0.19161794,  0.06865143, -3.64298124, -1.78446686,
       -3.15460278])]"
