breakpoints,primitives,points,q_bp
25000,movel_fit,"[array([1139.80315657,    3.99894916, 1032.45519427])]","[array([-0.26764923, -0.10741448,  0.48726828,  0.50357177,  1.68053753,
       -2.65382912])]"
25500,movel_fit,"[array([1142.73709133,   20.82468726, 1036.51741415])]","[array([-0.24965234, -0.10138653,  0.47814611,  0.50018679,  1.68696938,
       -2.64346714])]"
26000,movel_fit,"[array([1145.51660553,   37.70131913, 1040.47413159])]","[array([-0.23133514, -0.09512497,  0.46874506,  0.49624786,  1.6934335 ,
       -2.63270315])]"
26500,movel_fit,"[array([1148.12911514,   54.63173619, 1044.31080963])]","[array([-0.21268348, -0.08864708,  0.45908406,  0.4917243 ,  1.6999166 ,
       -2.62153899])]"
27000,movel_fit,"[array([1150.56153907,   71.6183576 , 1048.01234319])]","[array([-0.19368149, -0.081965  ,  0.44918035,  0.48658287,  1.70641037,
       -2.60997333])]"
27500,movel_fit,"[array([1152.80029001,   88.66305477, 1051.56302696])]","[array([-0.17431177, -0.07508208,  0.43904785,  0.4807885 ,  1.71291565,
       -2.59799998])]"
28000,movel_fit,"[array([1154.83127367,  105.76705475, 1054.94653127])]","[array([-0.15455601, -0.06799078,  0.4286965 ,  0.47430551,  1.71944499,
       -2.58560739])]"
28500,movel_fit,"[array([1156.63989937,  122.93081921, 1058.14588943])]","[array([-0.13439573, -0.06067259,  0.4181328 ,  0.46709899,  1.72602309,
       -2.57277945])]"
29000,movel_fit,"[array([1158.21110565,  140.15389801, 1061.14350121])]","[array([-0.11381326, -0.05310007,  0.40736161,  0.4591363 ,  1.73268496,
       -2.5594976 ])]"
29500,movel_fit,"[array([1159.52940542,  157.43475969, 1063.92115778])]","[array([-0.09279281, -0.04524062,  0.39638885,  0.4503885 ,  1.73947202,
       -2.54574409])]"
30000,movel_fit,"[array([1160.57895583,  174.77060498, 1066.46009385])]","[array([-0.07132151, -0.03706121,  0.38522466,  0.44083148,  1.74642694,
       -2.53150563])]"
30500,movel_fit,"[array([1161.34365798,  192.15717331, 1068.74107268])]","[array([-0.0493904 , -0.02853308,  0.37388655,  0.43044702,  1.75358841,
       -2.51677709])]"
31000,movel_fit,"[array([1161.80729141,  209.58855567, 1070.74450926])]","[array([-0.02699542, -0.01963519,  0.36240164,  0.41922363,  1.76098693,
       -2.50156422])]"
31500,movel_fit,"[array([1161.95368689,  227.05702972, 1072.45063537])]","[array([-0.00413825, -0.01035559,  0.35080769,  0.40715764,  1.76864295,
       -2.48588505])]"
32000,movel_fit,"[array([1161.76693916,  244.55293366, 1073.83970867])]","[array([ 1.91727461e-02, -6.90183498e-04,  3.39152412e-01,  3.94254571e-01,
        1.77656782e+00, -2.46976963e+00])]"
32500,movel_fit,"[array([1161.23165843,  262.06459456, 1074.89226501])]","[array([ 0.04292152,  0.00936082,  0.32749136,  0.38053101,  1.78476746,
       -2.45325811])]"
33000,movel_fit,"[array([1160.33325613,  279.57832345, 1075.58941051])]","[array([ 0.0670832 ,  0.01979784,  0.31588475,  0.36601706,  1.79324765,
       -2.43639803])]"
33500,movel_fit,"[array([1159.05825657,  297.07848445, 1075.91314619])]","[array([ 0.09162288,  0.03062679,  0.30439403,  0.35075899,  1.80201952,
       -2.41924133])]"
34000,movel_fit,"[array([1157.39462233,  314.54763906, 1075.84671491])]","[array([ 0.1164945 ,  0.04186257,  0.29307891,  0.3348218 ,  1.81110354,
       -2.40184202])]"
34500,movel_fit,"[array([1155.33207821,  331.96676006, 1075.37495736])]","[array([ 0.14163999,  0.05353032,  0.28199527,  0.318291  ,  1.82053085,
       -2.38425493])]"
35000,movel_fit,"[array([1152.86241616,  349.31550352, 1074.48466133])]","[array([ 0.16698897,  0.06566412,  0.27119418,  0.30127337,  1.83034189,
       -2.36653539])]"
35500,movel_fit,"[array([1149.9797631 ,  366.57252386, 1073.16488762])]","[array([ 0.19245918,  0.07830411,  0.26072152,  0.28389619,  1.84058287,
       -2.3487396 ])]"
36000,movel_fit,"[array([1146.68079434,  383.7158159 , 1071.40725529])]","[array([ 0.21795773,  0.09149303,  0.25061775,  0.26630506,  1.85130176,
       -2.33092464])]"
36500,movel_fit,"[array([1142.96487842,  400.72307027, 1069.20617051])]","[array([ 0.24338309,  0.1052739 ,  0.24091723,  0.24866074,  1.86254546,
       -2.31314757])]"
