breakpoints,primitives,p_bp,q_bp
41568,movel_fit,"[array([1609.31037528, -445.73452386,  765.59698245])]","[array([-0.64987969,  0.52103639,  0.31354287,  1.1371516 ,  1.43452686,
       -0.4171426 ])]"
41980,movel_fit,"[array([1617.77794235, -444.02459774,  765.4750292 ])]","[array([-0.63791592,  0.51541792,  0.2911204 ,  1.10333865,  1.41933226,
       -0.43592021])]"
42387,movel_fit,"[array([1626.09315113, -442.58977053,  765.21757983])]","[array([-0.62630198,  0.51119102,  0.27015736,  1.07177713,  1.40596409,
       -0.45299679])]"
42779,movel_fit,"[array([1634.0722233 , -441.76186455,  763.85671109])]","[array([-0.61558665,  0.50881252,  0.25114854,  1.04341504,  1.3943866 ,
       -0.4682277 ])]"
43800,movel_fit,"[array([1654.62458282, -437.57533151,  760.18140497])]","[array([-0.59037981,  0.50737998,  0.21032399,  0.98554516,  1.37116422,
       -0.49880317])]"
44625,movel_fit,"[array([1670.84417046, -437.2963026 ,  754.24484631])]","[array([-0.57655903,  0.51396601,  0.18449454,  0.95755717,  1.35969938,
       -0.51410153])]"
45352,movel_fit,"[array([1685.20096843, -435.72182206,  749.09999607])]","[array([-0.56869699,  0.52324354,  0.16834815,  0.94949585,  1.35425171,
       -0.51795752])]"
46055,movel_fit,"[array([1698.16490845, -435.4506723 ,  741.56200798])]","[array([-0.56672605,  0.53685805,  0.15924531,  0.95823949,  1.35327418,
       -0.51421899])]"
46799,movel_fit,"[array([1710.03530798, -437.91698848,  731.41095688])]","[array([-0.57138686,  0.55604912,  0.15687376,  0.98545475,  1.35768624,
       -0.50216946])]"
47646,movel_fit,"[array([1722.08634894, -441.33616513,  718.85637679])]","[array([-0.58278517,  0.58278003,  0.16375185,  1.03810785,  1.36983166,
       -0.47733486])]"
48647,movel_fit,"[array([1733.58081375, -446.80975079,  702.11970748])]","[array([-0.60202942,  0.62155788,  0.18551192,  1.12684694,  1.39558285,
       -0.43419039])]"
49998,movel_fit,"[array([1802.43090299, -457.75993761,  581.4510072 ])]","[array([-0.60507039,  0.84872246,  0.51953039,  1.90448324,  1.65262738,
       -0.04909118])]"
