breakpoints,primitives,points,q_bp
31000,movel_fit,"[array([1629.15129231,  -16.66664039,  522.66597537])]","[array([-2.66219934e-03,  1.60030469e-01,  6.00932108e-01,  2.92378164e+00,
       -5.06571161e-01, -2.00742291e+00])]"
31500,movel_fit,"[array([1638.9872188 ,  -19.47727722,  521.66609913])]","[array([-0.01887211,  0.18176256,  0.57162413,  2.99569126, -0.54148513,
       -2.00437762])]"
32000,movel_fit,"[array([1648.87544652,  -22.06917283,  520.60621664])]","[array([-0.03413247,  0.20278568,  0.54438552,  3.05807456, -0.57361516,
       -2.00470465])]"
32500,movel_fit,"[array([1658.83056971,  -24.39033073,  519.54480085])]","[array([-0.04781653,  0.22258594,  0.51960855,  3.11052756, -0.60199316,
       -2.00725507])]"
33000,movel_fit,"[array([1668.86276686,  -26.38542087,  518.54773195])]","[array([-0.05943209,  0.24073453,  0.4974835 ,  3.15304172, -0.62594197,
       -2.01109529])]"
33500,movel_fit,"[array([1678.97491582,  -27.99684367,  517.68520418])]","[array([-0.06861116,  0.25686758,  0.47810022,  3.18575174, -0.64496505,
       -2.01550836])]"
34000,movel_fit,"[array([1689.16330361,  -29.16753346,  517.02652551])]","[array([-0.07508427,  0.27067905,  0.46151481,  3.20877769, -0.65867367,
       -2.01996902])]"
34500,movel_fit,"[array([1699.4096806 ,  -29.84397268,  516.63363479])]","[array([-0.07864944,  0.28191013,  0.44780464,  3.22211041, -0.66673062,
       -2.0241149 ])]"
35000,movel_fit,"[array([1709.67503763,  -29.98236101,  516.55214595])]","[array([-0.07916263,  0.29035934,  0.43708994,  3.22558148, -0.66884244,
       -2.02773148])]"
35500,movel_fit,"[array([1719.93564814,  -29.5545426 ,  516.8028446 ])]","[array([-0.07653668,  0.29592768,  0.42950346,  3.21885669, -0.66476944,
       -2.0307662 ])]"
36000,movel_fit,"[array([1730.14607379,  -28.55085994,  517.3768543 ])]","[array([-0.07074407,  0.29860098,  0.42523084,  3.20140951, -0.65432762,
       -2.03333128])]"
36500,movel_fit,"[array([1740.2654082 ,  -26.98303813,  518.23381549])]","[array([-0.06184434,  0.2984909 ,  0.42446568,  3.17256524, -0.63743774,
       -2.03574613])]"
37000,movel_fit,"[array([1750.26691227,  -24.8810083 ,  519.30684475])]","[array([-0.05000807,  0.29584624,  0.42738063,  3.13151776, -0.61416101,
       -2.03858969])]"
37500,movel_fit,"[array([1760.13851804,  -22.28814031,  520.51061813])]","[array([-0.03555946,  0.29106384,  0.43407184,  3.07741841, -0.58478043,
       -2.04277205])]"
38000,movel_fit,"[array([1769.87921827,  -19.25731724,  521.749958  ])]","[array([-0.01903567,  0.28471367,  0.44443869,  3.00962302, -0.54996921,
       -2.04961577])]"
38500,movel_fit,"[array([1779.50117718,  -15.84606999,  522.92856364])]","[array([-1.21448946e-03,  2.77573094e-01,  4.57983353e-01,  2.92811828e+00,
       -5.11044693e-01, -2.06089966e+00])]"
39000,movel_fit,"[array([1789.02268794,  -12.11561716,  523.95523446])]","[array([ 0.01694137,  0.27066452,  0.47353514,  2.83425806, -0.47035253,
       -2.07871578])]"
39500,movel_fit,"[array([1798.46373036,   -8.13114971,  524.74925595])]","[array([ 0.03453684,  0.26523984,  0.48905918,  2.73155996, -0.43159436,
       -2.10489425])]"
40000,movel_fit,"[array([1807.84474721,   -3.96193426,  525.24550273])]","[array([ 0.0511705 ,  0.26261286,  0.50190397,  2.62585016, -0.39961859,
       -2.13990628])]"
40500,movel_fit,"[array([1.81718734e+03, 3.19064284e-01, 5.25398998e+02])]","[array([ 0.06717496,  0.26380607,  0.50970739,  2.52397643, -0.37912793,
       -2.18190577])]"
41000,movel_fit,"[array([1826.51121991,    4.63367109,  525.18867217])]","[array([ 0.08325356,  0.26920827,  0.51142087,  2.43161085, -0.37270798,
       -2.22709818])]"
41500,movel_fit,"[array([1835.84294797,    8.90227471,  524.61997544])]","[array([ 0.09980676,  0.2785312 ,  0.50751476,  2.35176023, -0.37976592,
       -2.27146243])]"
42000,movel_fit,"[array([1845.20833951,   13.03979668,  523.7264144 ])]","[array([ 0.11659316,  0.29102443,  0.49932207,  2.28507126, -0.3972393 ,
       -2.31210057])]"
42500,movel_fit,"[array([1854.63906288,   16.95777101,  522.56962601])]","[array([ 0.13292178,  0.30572589,  0.488301  ,  2.23076275, -0.42109501,
       -2.3475182 ])]"
43000,movel_fit,"[array([1864.17160246,   20.56234641,  521.23848337])]","[array([ 0.14798343,  0.32162567,  0.47565629,  2.18751361, -0.44749808,
       -2.3772063 ])]"
43500,movel_fit,"[array([1873.84155754,   23.75062652,  519.84791083])]","[array([ 0.16106155,  0.33775036,  0.46227301,  2.15400329, -0.47331248,
       -2.4011505 ])]"
44000,movel_fit,"[array([1883.68017005,   26.40958963,  518.53517299])]","[array([ 0.17160027,  0.35320976,  0.44877573,  2.12916019, -0.4961587 ,
       -2.41950454])]"
44500,movel_fit,"[array([1893.69927546,   28.41582705,  517.45256666])]","[array([ 0.17917702,  0.3672063 ,  0.43562271,  2.11228469, -0.51426067,
       -2.43238894])]"
45000,movel_fit,"[array([1903.8749337 ,   29.64480939,  516.75024878])]","[array([ 0.18346826,  0.37905333,  0.42317543,  2.10306357, -0.52630316,
       -2.43980886])]"
45500,movel_fit,"[array([1914.13524215,   29.99289105,  516.54592999])]","[array([ 0.1842491 ,  0.38823125,  0.4117239 ,  2.10151645, -0.53140169,
       -2.44165634])]"
46000,movel_fit,"[array([1924.38342872,   29.40588208,  516.88911515])]","[array([ 0.18142353,  0.39449449,  0.40144314,  2.1079186 , -0.52918707,
       -2.43775769])]"
46500,movel_fit,"[array([1934.50948851,   27.89593225,  517.74071815])]","[array([ 0.17504921,  0.39793719,  0.39235475,  2.12276695, -0.51989998,
       -2.42790645])]"
47000,movel_fit,"[array([1944.43231631,   25.53689998,  518.98136555])]","[array([ 0.1653418 ,  0.39902121,  0.38425925,  2.14681482, -0.50446778,
       -2.41186802])]"
47500,movel_fit,"[array([1954.11977586,   22.43878969,  520.4442984 ])]","[array([ 0.15265709,  0.39853077,  0.3766861 ,  2.18119671, -0.48455644,
       -2.38935362])]"
48000,movel_fit,"[array([1963.5818597 ,   18.72268888,  521.94981222])]","[array([ 0.13749781,  0.39751489,  0.36882807,  2.22753522, -0.46272359,
       -2.36006976])]"
48500,movel_fit,"[array([1972.85220176,   14.5083903 ,  523.32821467])]","[array([ 0.1205375 ,  0.39724863,  0.35942931,  2.28790796, -0.44267409,
       -2.32396051])]"
49000,movel_fit,"[array([1981.97751349,    9.90994035,  524.43339648])]","[array([ 0.10255691,  0.39918054,  0.3466643 ,  2.36456509, -0.42934968,
       -2.28172365])]"
49500,movel_fit,"[array([1991.00019774,    5.04231919,  525.14975411])]","[array([ 0.08420097,  0.40478917,  0.32824445,  2.45897842, -0.42832999,
       -2.23569658])]"
50000,movel_fit,"[array([1.99996393e+03, 2.03969765e-02, 5.25399996e+02])]","[array([ 0.06549703,  0.41527655,  0.30207499,  2.57042204, -0.44393703,
       -2.19040221])]"
