timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
2.875830888748168945e+00,2.000000000000000000e+00,2.455173301696777344e+01,-1.899858856201171875e+01,3.073954582214355469e+01,-1.446417236328125000e+02,9.172069549560546875e+01,-8.127027893066406250e+01,5.539587974548339844e+00,-9.391458511352539062e+00,-1.138850402832031250e+02,-1.509819488525390625e+02,6.144418334960937500e+01,-5.516970443725585938e+01
2.879877090454101562e+00,2.000000000000000000e+00,2.458046913146972656e+01,-1.904529571533203125e+01,3.073291778564453125e+01,-1.446954040527343750e+02,9.172261810302734375e+01,-8.129509735107421875e+01,5.466913223266601562e+00,-9.382348060607910156e+00,-1.139001617431640625e+02,-1.510361633300781250e+02,6.144032669067382812e+01,-5.519936752319335938e+01
2.882890939712524414e+00,2.000000000000000000e+00,2.460911941528320312e+01,-1.909204864501953125e+01,3.072614669799804688e+01,-1.447489166259765625e+02,9.172438049316406250e+01,-8.131938171386718750e+01,5.393689632415771484e+00,-9.372918128967285156e+00,-1.139153823852539062e+02,-1.510898742675781250e+02,6.143646621704101562e+01,-5.523155593872070312e+01
2.887898921966552734e+00,2.000000000000000000e+00,2.460911941528320312e+01,-1.909204864501953125e+01,3.072614669799804688e+01,-1.447489166259765625e+02,9.172438049316406250e+01,-8.131938171386718750e+01,5.393689632415771484e+00,-9.372918128967285156e+00,-1.139153823852539062e+02,-1.510898742675781250e+02,6.143646621704101562e+01,-5.523155593872070312e+01
2.891444921493530273e+00,2.000000000000000000e+00,2.466673278808593750e+01,-1.918548774719238281e+01,3.071311378479003906e+01,-1.448566894531250000e+02,9.172832489013671875e+01,-8.136705780029296875e+01,5.248944282531738281e+00,-9.354287147521972656e+00,-1.139462203979492188e+02,-1.511999511718750000e+02,6.142823028564453125e+01,-5.529340744018554688e+01
2.894876956939697266e+00,2.000000000000000000e+00,2.466673278808593750e+01,-1.918548774719238281e+01,3.071311378479003906e+01,-1.448566894531250000e+02,9.172832489013671875e+01,-8.136705780029296875e+01,5.248944282531738281e+00,-9.354287147521972656e+00,-1.139462203979492188e+02,-1.511999511718750000e+02,6.142823028564453125e+01,-5.529340744018554688e+01
2.898830890655517578e+00,2.000000000000000000e+00,2.472397613525390625e+01,-1.927913093566894531e+01,3.070014381408691406e+01,-1.449652099609375000e+02,9.173205566406250000e+01,-8.141506958007812500e+01,5.104584217071533203e+00,-9.336388587951660156e+00,-1.139766311645507812e+02,-1.513093872070312500e+02,6.142014312744140625e+01,-5.535504150390625000e+01
2.903901100158691406e+00,2.000000000000000000e+00,2.472397613525390625e+01,-1.927913093566894531e+01,3.070014381408691406e+01,-1.449652099609375000e+02,9.173205566406250000e+01,-8.141506958007812500e+01,5.104584217071533203e+00,-9.336388587951660156e+00,-1.139766311645507812e+02,-1.513093872070312500e+02,6.142014312744140625e+01,-5.535504150390625000e+01
2.906868934631347656e+00,2.000000000000000000e+00,2.478121566772460938e+01,-1.937234306335449219e+01,3.068686485290527344e+01,-1.450732269287109375e+02,9.173578643798828125e+01,-8.146423339843750000e+01,4.958740711212158203e+00,-9.317987442016601562e+00,-1.140076293945312500e+02,-1.514183197021484375e+02,6.141147613525390625e+01,-5.541480636596679688e+01
2.911932945251464844e+00,2.000000000000000000e+00,2.478121566772460938e+01,-1.937234306335449219e+01,3.068686485290527344e+01,-1.450732269287109375e+02,9.173578643798828125e+01,-8.146423339843750000e+01,4.958740711212158203e+00,-9.317987442016601562e+00,-1.140076293945312500e+02,-1.514183197021484375e+02,6.141147613525390625e+01,-5.541480636596679688e+01
2.915504932403564453e+00,2.000000000000000000e+00,2.483868598937988281e+01,-1.946562385559082031e+01,3.067370986938476562e+01,-1.451812744140625000e+02,9.173962402343750000e+01,-8.151353454589843750e+01,4.815149307250976562e+00,-9.299676895141601562e+00,-1.140380859375000000e+02,-1.515270385742187500e+02,6.140353012084960938e+01,-5.547622299194335938e+01
2.919884920120239258e+00,2.000000000000000000e+00,2.483868598937988281e+01,-1.946562385559082031e+01,3.067370986938476562e+01,-1.451812744140625000e+02,9.173962402343750000e+01,-8.151353454589843750e+01,4.815149307250976562e+00,-9.299676895141601562e+00,-1.140380859375000000e+02,-1.515270385742187500e+02,6.140353012084960938e+01,-5.547622299194335938e+01
2.926207065582275391e+00,2.000000000000000000e+00,2.489581489562988281e+01,-1.955912971496582031e+01,3.066063690185546875e+01,-1.452890930175781250e+02,9.174351501464843750e+01,-8.156108093261718750e+01,4.668756484985351562e+00,-9.281731605529785156e+00,-1.140682144165039062e+02,-1.516364746093750000e+02,6.139544296264648438e+01,-5.553719329833984375e+01
