breakpoints,primitives,p_bp,q_bp
24499,movel_fit,"[array([1320.71831641, -437.49760171,  936.4100703 ])]","[array([-0.72258766,  0.21645658,  0.46506818,  0.94563309,  1.4933571 ,
       -0.46132283])]"
24999,movel_fit,"[array([1328.45784506, -438.4520912 ,  929.70108037])]","[array([-0.72665852,  0.23080371,  0.47013486,  0.96723621,  1.49551222,
       -0.45119152])]"
25499,movel_fit,"[array([1336.05792866, -439.39662716,  922.81683772])]","[array([-0.7313614 ,  0.24603578,  0.47661017,  0.99132696,  1.49878434,
       -0.43972428])]"
25999,movel_fit,"[array([1343.50460842, -440.33028036,  915.78117343])]","[array([-0.73656906,  0.262189  ,  0.4845235 ,  1.01784015,  1.50325416,
       -0.42692781])]"
26499,movel_fit,"[array([1350.81691149, -441.2039253 ,  908.59058606])]","[array([-0.74208708,  0.27928005,  0.49387583,  1.04664413,  1.5089735 ,
       -0.41285323])]"
26999,movel_fit,"[array([1357.99572237, -442.03292914,  901.25188139])]","[array([-0.74772405,  0.2972912 ,  0.50460121,  1.07750264,  1.51600412,
       -0.39758579])]"
27499,movel_fit,"[array([1365.0534258 , -442.69767786,  893.80189081])]","[array([-0.75321577,  0.31616171,  0.51656465,  1.11006378,  1.52434052,
       -0.381277  ])]"
27999,movel_fit,"[array([1372.07952041, -443.07434557,  886.26132674])]","[array([-0.75826151,  0.33580601,  0.52955202,  1.14392804,  1.53393387,
       -0.36413043])]"
28499,movel_fit,"[array([1379.03831118, -443.21795969,  878.66822862])]","[array([-0.7626549 ,  0.35608844,  0.54323703,  1.17853215,  1.54472286,
       -0.34641471])]"
28999,movel_fit,"[array([1385.95238177, -443.12457313,  871.04223295])]","[array([-0.76618813,  0.37685869,  0.5572322 ,  1.21327943,  1.55655971,
       -0.32846296])]"
29499,movel_fit,"[array([1392.8794658 , -442.76400495,  863.42858789])]","[array([-0.76868624,  0.3978682 ,  0.57110666,  1.24756643,  1.56924133,
       -0.31058971])]"
29999,movel_fit,"[array([1399.82313229, -442.15386839,  855.85164995])]","[array([-0.77006612,  0.41891294,  0.58443167,  1.28080613,  1.58249585,
       -0.29316892])]"
30499,movel_fit,"[array([1406.85228851, -441.3266549 ,  848.35256141])]","[array([-0.7703029 ,  0.43973809,  0.5967735 ,  1.31249361,  1.59601892,
       -0.27649524])]"
30999,movel_fit,"[array([1413.94538   , -440.30184209,  840.96969991])]","[array([-0.76945199,  0.46005877,  0.6077863 ,  1.34214216,  1.6094425 ,
       -0.26089135])]"
31499,movel_fit,"[array([1421.18335394, -439.16510689,  833.7343097 ])]","[array([-0.76761689,  0.47965819,  0.61713062,  1.36942417,  1.62239535,
       -0.24659532])]"
31999,movel_fit,"[array([1428.58762843, -437.95305479,  826.66523322])]","[array([-0.76495006,  0.49828497,  0.6245866 ,  1.39405203,  1.63449396,
       -0.2338324 ])]"
32499,movel_fit,"[array([1436.16857598, -436.72519959,  819.81041632])]","[array([-0.76161442,  0.51571198,  0.62998668,  1.41581317,  1.64534187,
       -0.22279558])]"
32999,movel_fit,"[array([1443.99611836, -435.58979796,  813.19937489])]","[array([-0.75780721,  0.53174474,  0.63315146,  1.43453138,  1.65457614,
       -0.21361204])]"
33499,movel_fit,"[array([1452.07658151, -434.52330543,  806.88008456])]","[array([-0.75367711,  0.54617623,  0.63400863,  1.45005706,  1.66181496,
       -0.20646742])]"
33999,movel_fit,"[array([1460.45677522, -433.67257003,  800.89764818])]","[array([-0.74941608,  0.55883036,  0.63240516,  1.46219898,  1.66671225,
       -0.20146415])]"
34499,movel_fit,"[array([1469.12526284, -433.19638646,  795.28126604])]","[array([-0.74520084,  0.56954497,  0.62826955,  1.47077187,  1.66897403,
       -0.19874679])]"
34999,movel_fit,"[array([1478.09940049, -433.15229175,  790.15439347])]","[array([-0.7411333 ,  0.57812034,  0.62144379,  1.47546913,  1.66826313,
       -0.19840505])]"
35499,movel_fit,"[array([1487.33984982, -433.49904147,  785.49540368])]","[array([-0.73725858,  0.58447289,  0.61193493,  1.47612075,  1.66439861,
       -0.20062005])]"
35999,movel_fit,"[array([1496.81838336, -434.35198726,  781.3647785 ])]","[array([-0.7336141 ,  0.58851202,  0.59966923,  1.47246106,  1.65727506,
       -0.20544993])]"
36499,movel_fit,"[array([1506.45184496, -435.61363326,  777.80309456])]","[array([-0.73010574,  0.59017975,  0.58467846,  1.46425616,  1.64686683,
       -0.21299671])]"
36999,movel_fit,"[array([1516.22095597, -437.19515598,  774.79238053])]","[array([-0.72654961,  0.5895515 ,  0.56694602,  1.45134166,  1.6332638 ,
       -0.22331122])]"
37499,movel_fit,"[array([1526.12652123, -438.95919384,  772.32678615])]","[array([-0.7227364 ,  0.58671978,  0.54650107,  1.43353176,  1.61668399,
       -0.23639825])]"
37999,movel_fit,"[array([1536.10487363, -440.74292119,  770.36290552])]","[array([-0.71834382,  0.58186366,  0.52346583,  1.41078203,  1.59743778,
       -0.25225587])]"
38499,movel_fit,"[array([1546.18497711, -442.48062304,  768.83635454])]","[array([-0.71307227,  0.57525518,  0.49791596,  1.38306654,  1.57596432,
       -0.27074562])]"
38999,movel_fit,"[array([1556.34769444, -444.09332159,  767.74871383])]","[array([-0.70661891,  0.56721104,  0.47007681,  1.35055733,  1.55283631,
       -0.29160657])]"
39499,movel_fit,"[array([1566.56430133, -445.3728689 ,  766.98784064])]","[array([-0.69868332,  0.55815742,  0.44045794,  1.31373846,  1.52871414,
       -0.31454972])]"
39999,movel_fit,"[array([1576.87793738, -446.23707943,  766.46507954])]","[array([-0.68910717,  0.54860896,  0.40958234,  1.27334537,  1.50435935,
       -0.33898657])]"
